WATERBODY,STATE,TYPE,LATITUDE,LONGITUDE,ALTITUDE(km),LAKE_AREA(km2),LAKE_DEPTH(m),SAMPLED_DAYS(#),CHLOROPHYLL(ug/L),TN(mg/L),TP(mg/L),TEMPERATURE(oC),SECCHI_DEPTH(m),Species_Richness(#)
GREER'S LAKE,Arkansas,Reservoir,35.5295835,-92.18215275,0.14,163.9,21.39999998,4,3.7625,0.353733154,0.015952381,19.93085714,3.27978156,32
AMADOR RESERVOIR,California,Reservoir,38.305278,-120.8805555,0.106,1.56,17.39999999,3,22.38333333,0.59744186,0.047860465,15.379375,2.319871306,21
BOCA LAKE,California,Reservoir,39.4044445,-120.0930555,1.709,3.97,12.80000001,3,1.7,0.245,0.013428571,12.90625,3.230039793,10
LAKE BRITTON,California,Reservoir,41.02111133,-121.6452777,0.851,5.12,9.800000007,3,4.811111111,0.373095238,0.074714279,13.0125,1.308102616,13
CASITAS RESERVOIR,California,Reservoir,34.3868055,-119.3410415,0.1885,10.97,28.59999999,3,3.191666667,0.316527666,0.035804598,16,2.533655067,14
CROWLEY LAKE,California,Reservoir,37.60861133,-118.7304633,2.063,21.38,10.59999999,3,5.8,0.349736842,0.064368421,14.10909091,3.181356363,14
DON PEDRO RESERVOIR,California,Reservoir,37.7308888,-120.3844998,0.244,52.45,47.7,3,3.564285714,0.275185185,0.013537037,16.51157895,3.003979341,13
FALLEN LEAF RESERVOIR,California,Lake,38.8985,-120.062,1.944,5.71,1.5,3,0.785714286,0.192164948,0.007505155,8.170967742,12.08135273,11
LAKE HENNESSEY,California,Reservoir,38.48805567,-122.365463,0.0977,3.52,10.5,3,4.525,0.37452381,0.03897619,16.32380952,2.133604267,17
LAKE HENSHAW,California,Reservoir,33.2295835,-116.745,0.817,24.36,6.1,3,26.78333333,0.683333333,0.1806,14.37692308,0.990601981,23
IRON GATE RESERVOIR,California,Reservoir,41.945833,-122.4329165,0.71,3.39,21.39999998,3,6.216666667,1.393529412,0.187171429,12.04833333,1.515536364,12
LOPEZ LAKE,California,Reservoir,35.19444425,-120.4743753,0.1715,3.8,16.6,3,8.658333333,0.600675676,0.449712329,15.43428571,3.251206502,10
LAKE MARY,California,Lake,37.603889,-119.004167,2.732,0.42,8.199999993,2,2.55,0.28,0.011,7.26,5.181610363,7
LAKE MENDOCINO,California,Reservoir,39.21805567,-123.1733333,0.225,7.92,19.09999999,3,3.1,0.350857143,0.055571429,14.05263158,1.612903226,10
NICASIO RESERVOIR,California,Reservoir,38.07851867,-122.7362963,0.0686,3.42,8.100000002,3,6.633333333,0.692,0.067184205,14.61851852,0.437445319,20
LOWER OTAY RESERVOIR,California,Reservoir,32.6256945,-116.928611,0.149,4.58,15.2,3,15.93333333,0.949583333,0.065166658,16.63333333,1.33985268,26
LAKE PILLSBURY,California,Reservoir,39.41740733,-122.954815,0.554,8.1,14.29999998,3,6.388888889,0.314,0.052822218,12.40769231,0.84666836,8
SANTA MARGARITA LAKE,California,Reservoir,35.30111133,-120.484352,0.459,3.18,10.10000001,3,9.122222222,0.481960784,0.069431373,15.08518519,2.54000508,14
SHASTA LAKE,California,Reservoir,40.77499989,-122.2976544,0.325,119.4,46.50000001,3,4.0875,0.263915663,0.024090361,16.86810345,3.008847684,10
SHAVER,California,Reservoir,37.134722,-119.2958335,1.637,8.39,19.89999998,3,1.7,0.382571429,0.036885714,14.59375,3.901447803,10
SILVER LAKE,California,Lake,37.778889,-119.125833,2.203,0.45,10.5,3,1.8,0.227857143,0.0115,7,3.657607315,7
TULLOCK RESERVOIR,California,Reservoir,37.890648,-120.5871297,0.1571,5.1,16.49999999,3,13.87777778,0.291785714,0.029196429,14.81538462,1.701803404,16
UPPER TWIN LAKES,California,Lake,38.150278,-119.3593055,2.163,1.07,14.29999998,1,3.34,0.237857143,0.016357143,10.35,5.07493015,6
LOWER TWIN LAKES,California,Lake,38.1625,-119.335,2.159,1.52,15.2,1,2.9,0.2365625,0.01434375,10.2,6.400812802,4
BARKER RESERVOIR,Colorado,Reservoir,39.9648615,-105.49,2.495,1.7,8.299999993,3,5.333333333,0.390769231,0.025615385,9.63125,2.057404115,18
BARR LAKE,Colorado,Reservoir,39.940833,-104.7556945,1.554,7.57,5.200000004,3,28.76666667,4.771052632,1.170631579,16.39375,1.236135806,10
BLUE MESA RESERVOIR,Colorado,Reservoir,38.46939817,-107.2004165,2.293,36.62,31.1,2,6.816666667,0.332188995,0.027236842,17.42258065,2.647955296,8
CHERRY CREEK LAKE,Colorado,Reservoir,39.64148133,-104.8560183,1.691,3.24,5.200000004,3,23.32222222,0.785909091,0.056090909,15.46521739,0.778934891,21
