WATERBODY,STATE,TYPE,LATITUDE,LONGITUDE,ALTITUDE(km),LAKE_AREA(km2),LAKE_DEPTH(m),SAMPLED_DAYS(#),CHLOROPHYLL(ug/L),TN(mg/L),TP(mg/L),TEMPERATURE(oC),SECCHI_DEPTH(m),Species_Richness(#)
RACCOON LAKE,Illinois,Reservoir,38.542361,-89.0895835,0.145,3.93,1.2,3,19.21666667,1.431538462,0.118538462,21.83076923,0.397934129,38
BALDWIN LAKE,Illinois,Reservoir,38.2201385,-89.8645835,0.13,8,3.100000001,3,11.33333333,0.880666667,0.043066667,25.4,0.986368639,45
LAKE VANDALIA,Illinois,Reservoir,39.01388867,-89.11092567,0.1493,2.67,16.20000002,3,11.27777778,1.606923077,0.150423077,21.37727273,0.55597889,38
OLD BEN MINE RESERVOIR,Illinois,Reservoir,38.104167,-89.0125,0.127,0.43,1.2,2,31.43333333,1.721666667,0.760333333,21.65,0.550334434,51
HORSESHOE LAKE,Illinois,Lake,38.692361,-90.1006945,0.124,8.78,2.100000001,3,182.25,4.551,0.16429999,21.44,0.436034205,60
CATARACT LAKE,Indiana,Reservoir,39.46462933,-86.87574067,0.1999,5.66,6.1,3,10.74444444,2.537777778,0.076777769,21.976,0.84666836,24
GEIST RESERVOIR,Indiana,Reservoir,39.921806,-85.960139,0.238,7.28,3.600000002,3,45.95,2.244210526,0.085157884,20.65625,0.698501397,66
JAMES LAKE,Indiana,Lake,41.317222,-85.726667,0.249,1.14,8.199999993,2,11.53333333,1.676470588,0.041764706,19.7,1.676403353,31
MISSISSINEWA RESERVOIR,Indiana,Reservoir,40.68805567,-85.87750033,0.243,12.75,7.199999993,3,15.77777778,3.063,0.110424998,19.59259259,0.67451246,26
MONROE RESERVOIR,Indiana,Reservoir,39.05541667,-86.4180555,0.1965,43.5,5.300000005,3,6.947058824,0.951621622,0.034729728,21.90227273,1.553885461,35
MORSE RESERVOIR,Indiana,Reservoir,40.10194433,-86.03842567,0.247,5.57,4.700000001,3,56.16666667,4.62,0.097874997,20.6,0.680156916,42
WAWASEE LAKE,Indiana,Lake,41.3968055,-85.691528,0.26,12.38,6.700000005,3,5,0.9936,0.01064,19.08571429,3.441706883,36
OLIN LAKE,Indiana,Lake,41.563611,-85.396111,0.273,0.42,11.70000001,2,4.866666667,1.776,0.0125,17.81111111,2.455338244,17
OLIVER LAKE,Indiana,Lake,41.571389,-85.404167,0.272,1.5,12.20000001,2,3.766666667,1.220909091,0.011272727,18.1875,2.743205486,18
SYLVAN LAKE,Indiana,Reservoir,41.491528,-85.364028,0.2815,2.55,4.300000004,3,47.48,2.131764706,0.165352941,20.31764706,0.766234866,55
HOVEY LAKE,Indiana,Lake,37.820833,-87.954444,0.104,0.98,1.2,2,84.26666667,2.7,0.3496,19.56,0.270933875,42
BASS LAKE,Indiana,Lake,41.225926,-86.58935167,0.218,5.69,1.8,3,29.36666667,2.036315789,0.066052632,20.17222222,0.727076454,50
CROOKED LAKE,Indiana,Lake,41.67648167,-85.056852,0.3014,3.25,6.1,3,5.577777778,1.171785714,0.029357143,20.15263158,2.283182344,50
LAKE JAMES,Indiana,Lake,41.702963,-85.035648,0.3042,4.18,7.299999998,3,4.855555556,0.973103448,0.036172412,19.452,3.747918607,23
LONG LAKE,Indiana,Lake,41.5825,-85.031944,0.288,0.37,5.099999999,2,16.1,3.664666667,0.296533333,17.35,1.456269579,12
PIGEON LAKE,Indiana,Lake,41.6391665,-84.9456945,0.301,0.25,4.600000003,3,11.9,3.447916667,0.085416658,14.8,1.456269579,31
MARSH LAKE,Indiana,Lake,41.72,-84.9025,0.315,0.23,6.1,2,34.46666667,2.335,0.255714279,17.32222222,1.236135806,13
HAMILTON LAKE,Indiana,Lake,41.546389,-84.917083,0.2735,3.25,6.299999993,3,17.45,1.751111111,0.109583333,19.04705882,2.205571078,27
LAKE ACQUABI,Iowa,Reservoir,41.291667,-93.592222,0.261,0.53,3.000000002,3,8.6,1.128333333,0.058333317,18.07444444,0.778934891,22
BIG CREEK RESERVOIR,Iowa,Reservoir,42.09,-94.048333,0.343,3.44,6.700000005,3,16.86666667,6.96625,0.051749988,17.808125,1.562103124,19
BLACK HAWK LAKE,Iowa,Lake,42.295,-95.02125,0.372,3.72,1.699999999,3,49.74,2.41,0.182333333,16.80625,0.300567268,56
CLEAR LAKE,Iowa,Lake,43.124074,-93.43240767,0.373,14.74,3.000000002,3,17.4,1.392307692,0.058461523,15.80526316,0.885826772,42
LOST ISLAND LAKE,Iowa,Lake,43.1604165,-94.920833,0.41,5.1,3.000000002,2,36.1,2.92375,0.143624988,15.37818182,2.002370671,53
LAKE MACBRIDE,Iowa,Reservoir,41.79777767,-91.554074,0.2263,3.84,7.299999998,3,17.06666667,2.577727273,0.076909086,16.9262963,1.055513222,31
PRAIRIE ROSE LAKE,Iowa,Reservoir,41.6,-95.033333,0.395,0.88,3.300000001,3,17.35,1.172307692,0.061615377,17.12736842,0.922868512,28
RATHBUN RESERVOIR,Iowa,Reservoir,40.86046283,-92.9561575,0.275,44.52,6.700000005,3,12.03888889,1.796590909,0.069249995,17.982,0.612423447,24
RED ROCK LAKE,Iowa,Reservoir,41.39090275,-93.03597225,0.2596,36.22,3.000000002,3,14.575,5.839411765,0.214470588,18.93181818,0.692151384,36
ROCK CREEK LAKE,Iowa,Reservoir,41.7579165,-92.846528,0.287,2.6,2.699999999,3,18.36666667,2.374,0.06609999,17.38466667,0.495300991,23
SILVER LAKE,Iowa,Lake,43.483333,-93.416667,0.384,1.29,1.2,2,95.3,6.155,0.23725,15.74333333,0.440267547,40
SPIRIT LAKE,Iowa,Lake,43.47629633,-95.091111,0.427,23,5.499999994,3,12.62222222,1.181111111,0.040611111,16.148,1.964270595,19
VIKING LAKE,Iowa,Reservoir,40.966667,-95.033333,0.377,0.61,5.800000006,3,26.03333333,1.096666667,0.059,17.85888889,1.041402083,18
WEST LAKE OKOBOJI,Iowa,Lake,43.38277767,-95.15981467,0.425,14.93,13.7,3,7.722222222,1.098214286,0.067785714,16.11818182,3.036717185,24
CEDAR BLUFF RESERVOIR,Kansas,Reservoir,38.7854165,-99.7458335,0.653,26.84,8.500000006,3,4.216666667,0.615,0.0171875,15.42125,1.735670138,20
COUNCIL GROVE,Kansas,Reservoir,38.69537,-96.50972233,0.391,13.27,3.9,3,9.788888889,1.296666667,0.07105555,16.86923077,0.358422939,17
ELK CITY,Kansas,Reservoir,37.275,-95.788333,0.242,17.81,2.400000002,3,2.583333333,0.902222222,0.065111111,18.32222222,0.237067141,31
FALL RIVER RESERVOIR,Kansas,Reservoir,37.654861,-96.0652775,0.288,10.52,3.000000002,3,7.683333333,0.791538462,0.061538462,18.39117647,0.287867242,16
JOHN REDMOND RESERVOIR,Kansas,Reservoir,38.259028,-95.788611,0.315,38.04,2.000000002,3,9.466666667,1.764545455,0.175909091,17.76090909,0.186267039,23
KANOPOLIS RESERVOIR,Kansas,Reservoir,38.63125,-97.988333,0.4455,14.37,4.500000002,3,16.03333333,1.19,0.063238095,16.77764706,0.33020066,34
MARION RESERVOIR,Kansas,Reservoir,38.39125,-97.1034725,0.411,24.93,4.100000003,3,12.4,1.18,0.062190476,16.64294118,0.414867496,29
MELVERN RESERVOIR,Kansas,Reservoir,38.497685,-95.77629633,0.315,28.05,5.999999995,3,30.4,0.8725,0.038124998,17.55481481,1.038579855,31
MILFORD RESERVOIR,Kansas,Reservoir,39.15194425,-96.95083325,0.376,65.51,7.800000006,3,18.88333333,1.175769231,0.090673075,16.39257143,0.855135044,21
NORTON RESERVOIR,Kansas,Reservoir,39.792685,-99.96898167,0.702,8.86,4.999999996,3,21.36,1.204615385,0.127384608,16.50461538,0.590551181,45
PERRY RESERVOIR,Kansas,Reservoir,39.162847,-95.43666675,0.2843,49.37,3.699999999,3,6.15,1.500181818,0.059236362,17.23742857,0.535517738,27
POMONA RESERVOIR,Kansas,Reservoir,38.66111133,-95.59,0.297,16.19,6.4,3,8.3125,1.54516129,0.043548387,17.95625,0.474134282,14
TORONTO RESERVOIR,Kansas,Reservoir,37.757361,-95.9294445,0.275,11.33,2.500000002,3,6.583333333,0.72,0.069083317,18.01055556,0.292100584,13
TUTTLE CREEK RESERVOIR,Kansas,Reservoir,39.33333333,-96.656204,0.326,63.94,8.199999993,3,11.27777778,1.682222222,0.15833333,16.88555556,0.745068157,16
WILSON RESERVOIR,Kansas,Reservoir,38.94259233,-98.53879633,0.4704,36.42,8.399999999,3,8.866666667,0.88,0.025423077,16.81518519,1.391358338,19
LAKE CUMBERLAND,Kentucky,Reservoir,36.934127,-84.90833329,0.22,203.36,24.2,3,3.804761905,0.52649635,0.019970802,22.01481481,1.717527245,23
DALE HOLLOW RESERVOIR,Tennessee,Reservoir,36.552315,-85.277361,0.2813,108.62,14.4,3,3.594444444,0.497363636,0.0115,22.04772727,4.318008636,24
HERRINGTON LAKE,Kentucky,Reservoir,37.73104175,-84.71187475,0.2672,11.9,23.9,3,14.90833333,1.075616438,0.106972599,22.85454545,1.456269579,33
KENTUCKY LAKE,Kentucky,Reservoir,36.14578429,-88.06870918,0.1571,648.71,5.200000004,3,9.088571429,0.759748428,0.074132069,22.125,0.965907487,39
BARREN RIVER RESERVOIR,Kentucky,Reservoir,36.8775,-86.05886364,0.17,40.47,5.800000006,3,8.216129032,0.906978417,0.044834532,24.02179487,1.204121158,36
ANACOCO LAKE,Louisiana,Reservoir,31.1109725,-93.3843055,0.0602,10.52,2.799999998,3,8.7,0.573571429,0.03,21.99266667,1.121835577,37
BRUIN LAKE,Louisiana,Lake,31.975,-91.225,0.021,9.48,9.099999993,3,16.35,0.775555556,0.077407404,21.42117647,1.261535856,47
LAKE BISTINEAU,Louisiana,Reservoir,32.408472,-93.39451375,0.0511,69.67,2.100000001,3,12.93333333,0.627777778,0.065851848,20.8425,1.066802134,40
BLACK BAYOU,Louisiana,Reservoir,32.89287033,-93.929722,0.056,16.06,1.400000001,4,17.81818182,0.715384615,0.079,21.59235294,1.183219033,45
BUNDICK LAKE,Louisiana,Reservoir,30.7415275,-93.1059725,0.027,7.07,1.600000001,3,20.46666667,0.823,0.1767,22.973,0.770468208,61
COCODRIE LAKE,Louisiana,Lake,31.5020835,-91.716667,0.015,3.99,4.9,2,35.3,1.019166667,0.0875,23.4,0.533401067,27
COTILE LAKE,Louisiana,Reservoir,31.325,-92.733333,0.03,7.25,4.300000004,3,12.65,0.531875,0.0365625,21.09,1.464736263,44
CONCORDIA LAKE,Louisiana,Lake,31.65375,-91.5161115,0.018,4.25,6.1,3,32.95,0.864705882,0.084647053,21.80882353,0.804334942,60
CROSS LAKE,Louisiana,Reservoir,32.5127778,-93.8482222,0.051,35.77,2.699999999,4,38.385,0.910789474,0.088236839,22.81216216,0.628651257,84
D'ARBONNE LAKE,Louisiana,Reservoir,32.750278,-92.4124305,0.024,61.64,2.6,3,6.8,0.521052632,0.041894737,19.864375,1.060452121,41
FALSE RIVER LAKE,Louisiana,Lake,31.6402775,-91.4520835,0.016,11.78,7.100000005,3,24.55,0.917826087,0.10204347,22.92352941,1.460502921,54
INDIAN CREEK,Louisiana,Reservoir,31.279167,-92.7625,0.035,9.11,3.4,3,21.46666667,0.625925926,0.029666667,21.3952,1.05833545,59
SALINE LAKE,Louisiana,Lake,31.850556,-92.946389,0.028,7.98,2.699999999,3,15.33333333,1.171875,0.1461875,21.056,0.177800356,26
TURKEY CREEK LAKE,Louisiana,Reservoir,31.929861,-91.766667,0.013,12.54,2.000000002,3,21.96666667,0.871333333,0.1732,20.205625,0.563034459,69
LAKE VERRET,Louisiana,Lake,29.8956945,-91.159861,0.001,56.98,1.5,3,62.02857143,1.22,0.16,24.1625,0.471715229,65
LAKE VERNON,Louisiana,Reservoir,31.18990733,-93.366204,0.074,17.09,4.100000003,3,4.9,0.684736842,0.019894737,21.899375,1.608669884,38
BLACK LAKE,Louisiana,Lake,31.975,-93.075,0.033,52.24,2.6,2,12.73333333,0.708571429,0.093571429,28.01428571,1.168402337,41
COCODRIE LAKE,Louisiana,Lake,30.933333,-92.48,0.016,24.68,0.5,2,24.2,0.92,0.132666667,16.64333333,0.30480061,41
DEEP CREEK LAKE,Maryland,Reservoir,39.505764,-79.335,0.8733,15.78,8.100000002,3,6.15,0.663387097,0.012741935,18.51052632,2.992972653,21
LIBERTY RESERVOIR,Maryland,Reservoir,39.43354175,-76.89840275,0.1281,12.59,12.99999999,3,6.325,2.301692308,0.026969231,19.303125,2.49343832,22
LOCH RAVEN RESERVOIR,Maryland,Reservoir,39.45370367,-76.56305567,0.072,7.67,15.2,3,7.133333333,1.744418605,0.032627905,18.81304348,1.789292467,25
JOHNSON POND,Maryland,Reservoir,38.3819445,-75.598611,0.002,0.42,2.100000001,3,26.225,1.934285714,0.098714286,18.75714286,1.060452121,39
ARKABUTLA LAKE,Mississippi,Reservoir,34.77324067,-90.108148,0.065,48.04,9.099999993,3,6.5,1.090645161,0.179741935,23.65,0.378178534,23
ENID LAKE,Mississippi,Reservoir,34.149074,-89.846759,0.073,52.49,15.49999999,3,6.577777778,6.782178082,4.026583331,24.208,0.889001778,32
ROSS BARNETT RESERVOIR,Mississippi,Reservoir,32.4313195,-90.03062475,0.089,121.41,3.699999999,3,9.991666667,0.916744186,0.052999998,24.86388889,0.941918551,61
SARDIS LAKE,Mississippi,Reservoir,34.43659725,-89.73854175,0.08,125.46,16.49999999,3,6.425,0.553207547,0.045226408,24.42571429,1.327152654,17
GRENADA LAKE,Mississippi,Reservoir,33.83194433,-89.71305567,0.06,98.38,16.49999999,3,6.022222222,0.7585,0.065374995,24.16923077,0.589845624,25
CLEARWATER LAKE,Missouri,Reservoir,37.15240733,-90.78629633,0.1658,6.6,4.100000003,3,3.566666667,0.3325,0.0208125,16.66269231,1.397002794,16
POMME DE TERRE RESERVOIR,Missouri,Reservoir,37.853111,-93.3190556,0.2812,31.65,9.499999994,3,9.442857143,0.820882353,0.044852938,18.43166667,1.271816829,41
STOCKTON RESERVOIR,Missouri,Reservoir,37.6016668,-93.7389998,0.2948,100.77,7.299999998,3,8.973333333,0.96244186,0.027918605,16.60121951,1.808483617,28
LAKE TANEYCOMO,Missouri,Reservoir,36.6744445,-93.159722,0.307,12.22,5.800000006,4,9.825,0.773529412,0.027147059,13.89368421,2.025654051,27
THOMAS HILL RESERVOIR,Missouri,Reservoir,39.58305533,-92.631852,0.216,17.81,4.100000003,3,6.485714286,1.480322581,0.081290313,16.58083333,0.317500635,20
WAPPAPELLO RESERVOIR,Missouri,Reservoir,37.71631975,-90.32534725,0.2922,16.59,3.000000002,3,9.641666667,0.380378788,0.035577778,17.57,1.024468716,46
CANYON FERRY RESERVOIR,Montana,Reservoir,46.5052224,-111.5951666,1.1731,142.45,17.39999999,4,5.815789474,0.499473684,0.061515789,14.5375,1.452882906,28
CLARK CANYON RESERVOIR,Montana,Reservoir,44.975463,-112.8721297,1.69,19.97,15.8,4,2.375,0.57755102,0.050571427,12.325,2.571755144,7
FLATHEAD LAKE,Montana,Lake,47.8539445,-114.1432499,0.882,475.6,13.49999998,3,1.273333333,0.266170213,0.01206383,17.44142857,5.897045127,10
GEORGETOWN RESERVOIR,Montana,Reservoir,46.19074067,-113.2796297,1.945,11.2,3.4,2,6.983333333,0.391428571,0.022714286,15.26875,3.369740073,15
HEBGEN RESERVOIR,Montana,Reservoir,44.79777775,-111.2372915,1.993,51.27,8.199999993,3,4.083333333,0.258510638,0.025191489,13.64642857,3.360426721,16
KOOCANUSA RESERVOIR,Montana,Reservoir,48.71939817,-115.2611108,1.868,188.18,38.39999997,3,2.66875,0.293305085,0.050288132,16.66744186,4.123879676,10
MARY RONAN LAKE,Montana,Lake,47.92648133,-114.399722,1.129,6.15,8.500000006,4,4.672727273,0.542727273,0.028227273,14.8037037,3.274297458,24
MC DONALD LAKE,Montana,Lake,48.58212967,-113.927037,0.962,32.63,45.69999999,2,0.466666667,0.37,0.006,12.30833333,7.857082381,3
NELSON RESERVOIR,Montana,Reservoir,48.5025,-107.5646297,0.708,18.45,5.700000004,3,7.233333333,0.627307692,0.031884615,17.1,1.098552197,9
SEELEY LAKE,Montana,Lake,47.18935167,-113.503889,1.218,3.49,18.30000001,3,2.171428571,0.306842105,0.034789474,14.4,3.483435538,18
SWAN LAKE,Montana,Lake,47.96509267,-113.909167,0.935,10.85,21.90000001,3,3.288888889,0.261489362,0.031553191,14.01,5.518161036,10
TALLY LAKE,Montana,Lake,48.4019445,-114.536806,1.3415,5.37,68.90000001,3,2.083333333,0.267619048,0.01097619,15.74166667,4.085174837,12
TIBER RESERVOIR,Montana,Reservoir,48.363611,-111.31375,0.916,50.59,15.30000001,2,2.805555556,0.472820513,0.022935897,14.0255814,1.306691502,12
TONGUE RIVER RESERVOIR,Montana,Reservoir,45.1,-106.7835187,1.044,14.15,6.1,3,16.87777778,0.688518519,0.063111107,14.34761905,0.657579093,22
WHITEFISH LAKE (LOWER),Montana,Lake,48.45055567,-114.3822223,0.914,13.56,32.9,3,1.4,0.245614035,0.015982456,14.2,5.334010668,15
BRANCHED OAK,Nebraska,Reservoir,40.968889,-96.86546267,0.39,7.28,5.499999994,3,17.03333333,0.904761905,0.052857138,16.73333333,1.106313324,27
HARLAN COUNTY RESERVOIR,Nebraska,Reservoir,40.06870367,-99.29083333,0.593,54.5,7.800000006,3,27.82222222,1.0953125,0.12746875,15.78958333,0.606778991,29
HARRY D. STRUNK (MEDICINE CREEK),Nebraska,Reservoir,40.3970835,-100.2219445,0.722,7.49,5.800000006,3,14.36666667,1.086,0.068799993,16.10647059,0.749301499,26
HUGH BUTLER (RED WILLOW),Nebraska,Reservoir,40.365741,-100.6887037,0.8169,6.59,5.900000005,3,16.6125,0.774761905,0.067999986,17.29458333,0.790576581,31
JOHNSON RESERVOIR,Nebraska,Reservoir,40.683333,-99.916667,0.785,11.53,6.1,3,26.13333333,1,0.077375,15.04444444,0.567267801,44
LAKE MCCONAUGHY,Nebraska,Reservoir,41.251389,-101.8509263,0.997,141.64,19.79999999,3,8.644444444,0.921153846,0.034461538,14.25416667,2.297293483,29
PAWNEE LAKE,Nebraska,Reservoir,40.844722,-96.871389,0.378,2.99,3.699999999,3,15.36666667,1.086666667,0.061666667,17.9875,1.193802388,27
SHERMAN COUNTY RESERVOIR,Nebraska,Reservoir,41.3354165,-98.9145835,0.657,11.51,7.299999998,3,6.716666667,0.404666667,0.0862,15.22470588,1.240369147,15
SWANSON RESERVOIR,Nebraska,Reservoir,40.1654165,-101.093472,0.839,20.13,7.299999998,3,14.45,0.849285714,0.076857143,15.23529412,0.855135044,23
LAKE MEAD,Nevada,Reservoir,36.1181134,-114.6416956,0.5009,592.88,59.10000002,2,3.11057971,0.849766251,0.150246979,17.49857143,5.929255337,5
LAHONTAN RESERVOIR,Nevada,Reservoir,39.41555525,-119.1163193,1.3825,19.69,6.700000005,3,4.608333333,0.554259259,0.187592591,13.50911765,0.709084752,17
RYE PATCH RESERVOIR,Nevada,Reservoir,40.60996911,-118.2962654,1.264,46.14,4.600000003,3,4.938461538,0.6718,0.099079988,12.865,0.819151638,9
LAKE TAHOE,Nevada,Lake,39.08604933,-120.0226851,1.899,501.82,306.9999997,3,0.588,0.216569149,0.005106383,9.093333333,12.86015616,5
TOPAZ RESERVOIR,Nevada,Lake,38.677778,-119.535417,1.526,9.71,15.8,3,7.516666667,0.464375,0.0673125,11.27857143,3.149606299,11
WASHOE LAKE,Nevada,Lake,39.265463,-119.7953703,1.5363,16.59,1.5,3,11.63333333,1.383636364,0.461909091,8.554615385,0.138289165,20
WILDHORSE RESERVOIR,Nevada,Reservoir,41.6755002,-115.8089442,1.892,12.14,7.299999998,3,75.53,1.013934426,0.141049177,10.225,0.269240538,18
WILSON SINK RESERVOIR,Nevada,Reservoir,41.67231467,-116.335926,1.616,3.35,3.9,3,10.03333333,0.562173913,0.073695652,11.57619048,7.687748709,15
WALKER LAKE,Nevada,Lake,38.66759267,-118.7166667,1.206,153.78,24.10000002,3,3.422222222,2.163023256,0.592697674,13.675,2.404538142,5
BUDD LAKE,New Jersey,Lake,40.870278,-74.743056,0.281,1.52,1.8,2,48.5,1.391666667,0.077833317,18.63333333,0.660401321,48
GREENWOOD LAKE,New Jersey,Reservoir,41.18840275,-74.32013875,0.191,7.77,5.200000004,2,11.92,0.574933586,0.029774194,18.672,2.178054356,35
ORADELL RESERVOIR,New Jersey,Reservoir,40.9643055,-74.0175,0.006,2.64,4.100000003,3,22.26666667,1.712941176,0.057352935,18.41176471,0.952501905,39
PINECLIFF LAKE,New Jersey,Reservoir,41.132222,-74.375,0.192,0.57,1.8,3,38.96,0.98375,0.083125,18.2,0.876301753,51
POMPTON LAKES,New Jersey,Reservoir,41.0016665,-74.2752775,0.058,0.83,1.8,3,23.03333333,1.154285714,0.083642857,17.48571429,0.935568538,33
DUHERNAL LAKE,New Jersey,Reservoir,40.405,-74.369444,0.001,0.38,1.400000001,2,6.8,1.914,0.1058,18.66,0.84666836,10
FARRINGTON LAKE,New Jersey,Reservoir,40.4368055,-74.46625,0.021,1.17,1.8,2,8.283333333,1.566,0.065533333,19.04375,0.96520193,30
LAKE HOPATCONG,New Jersey,Reservoir,40.9490004,-74.6392778,0.2978,10.87,5.499999994,3,13.62666667,0.611166667,0.032416667,18.97674419,2.125137584,40
LAKE MUSCONETCONG,New Jersey,Lake,40.9075,-74.693889,0.258,1.33,1.5,2,11.06666667,0.9225,0.05425,21.675,1.625603251,29
PAULINS KILL LAKE,New Jersey,Reservoir,41.063611,-74.81,0.175,0.64,1.8,3,7.016666667,1.426666667,0.149333333,17.97,1.003302007,28
SPRUCE RUN RESERVOIR,New Jersey,Reservoir,40.654028,-74.919861,0.078,5.22,7.899999995,3,15.33333333,0.956206897,0.021517241,19.23684211,1.81187029,37
UNION LAKE,New Jersey,Reservoir,39.409861,-75.0597225,0.006,3.6,2.699999999,3,22.08,1.761333333,0.052999987,18.94,0.934721869,37
WANAQUE RESERVOIR,New Jersey,Reservoir,41.07259233,-74.287315,0.085,9.35,11.29999999,3,7.111111111,0.697954545,0.014136364,19.0952381,3.674540682,35
ALAMOGORDO,New Mexico,Reservoir,34.63055567,-104.3858333,1.303,18.49,8.100000002,3,5.866666667,0.338666667,0.0265,18.30769231,0.770468208,29
BLUE WATER LAKE,New Mexico,Reservoir,35.296574,-108.1246293,2.249,7.07,6.700000005,3,3.866666667,0.701875,0.03740625,14.25925926,0.50482601,12
CONCHAS RESERVOIR,New Mexico,Reservoir,35.46055575,-104.2015975,1.297,38.83,11.79999999,3,3.275,0.363859649,0.026070175,18.27058824,1.22343578,12
EAGLE NEST LAKE,New Mexico,Reservoir,36.52361133,-105.2517593,2.49,9.82,9.900000009,3,13.35714286,0.572380952,0.197904757,13.79333333,1.123952248,9
ELEPHANT BUTTE RESERVOIR,New Mexico,Reservoir,33.22009267,-107.1772685,1.3358,148.05,18.30000001,3,6.758333333,0.482142857,0.085732123,19.56571429,0.615951232,13
EL VADO RESERVOIR,New Mexico,Reservoir,36.61814833,-106.748796,2.107,13.07,18.30000001,3,2.188888889,0.468297872,0.047319149,14.34444444,0.852312816,6
LAKE MACMILLAN,New Mexico,Reservoir,32.61425933,-104.343889,0.996,23.05,2.100000001,3,14.13333333,0.590714286,0.107928564,19.25928571,0.259644964,20
UTE RESERVOIR,New Mexico,Reservoir,35.35173625,-103.4828473,1.146,16.79,8,3,3.241666667,0.410408163,0.022897959,18.98787879,1.301752604,21
BADIN LAKE,North Carolina,Reservoir,35.43624975,-80.10673625,0.1832,24.17,14.19999999,2,7.19,0.87483871,0.061483867,22.41111111,0.844551689,14
BLEWETT FALLS LAKE,North Carolina,Reservoir,35.02166667,-79.88740733,0.0797,10.36,11.59999999,3,4.166666667,0.928571429,0.08239285,21.37826087,0.587023396,30
FONTANA LAKE,North Carolina,Reservoir,35.41960314,-83.62126986,0.5361,43.18,41.30000003,3,3.438095238,0.873310432,0.022,23.01666667,2.726695453,23
LAKE HICKORY,North Carolina,Reservoir,35.7965275,-81.27604175,0.283,16.63,9.499999994,3,7.275,0.659649123,0.046649123,20.66774194,0.990601981,43
HIGH ROCK LAKE,North Carolina,Reservoir,35.658125,-80.2931945,0.1961,64.29,4.9,3,14.28333333,0.887111111,0.09302222,21.27333333,0.572655691,41
HIWASSEE LAKE,North Carolina,Reservoir,35.1165185,-84.11583317,0.4943,25.41,21.29999998,3,5.677777778,0.4272,0.020727998,21.95,2.017892925,33
LAKE JAMES,North Carolina,Reservoir,35.746389,-81.8785556,0.364,26.35,13.49999998,3,7.66,0.485652174,0.026108696,21.6825,1.80679028,37
LAKE JUNALUSKA,North Carolina,Reservoir,35.525833,-82.966111,0.776,0.81,5.6,2,7.233333333,0.874545455,0.034636364,17.1625,0.96520193,28
LOOKOUT SHOALS,North Carolina,Reservoir,35.777083,-81.114583,0.2988,4.14,9.30000001,3,4.2,0.626818182,0.039363636,19.725,1.037168741,43
MOUNTAIN ISLAND LAKE,North Carolina,Reservoir,35.34963,-80.96064833,0.195,13.09,5.400000002,3,5.58,0.481,0.023875,22.29230769,0.96520193,47
LAKE NORMAN,North Carolina,Reservoir,35.5475,-80.9519444,0.239,131.57,10.20000001,3,5.806666667,0.621084337,0.025084335,23.23636364,1.354669376,38
RHODHISS LAKE,North Carolina,Reservoir,35.77546333,-81.529815,0.3254,14.22,6.299999993,3,3.577777778,0.55125,0.064249991,19.4,0.962379703,42
SANTEETLAH LAKE,North Carolina,Reservoir,35.351111,-83.8591668,0.588,11.59,16.80000001,3,5.36,0.394183673,0.012846939,22.16666667,3.393446787,24
LAKE TILLERY,North Carolina,Reservoir,35.2782224,-80.0797222,0.104,21.29,9.699999994,3,6.826666667,0.843432836,0.048731339,22.05,0.797561595,49
WATERVILLE RESERVOIR,North Carolina,Reservoir,35.780139,-83.1066665,0.451,1.38,22.69999999,3,3.816666667,1.648333333,0.107599993,18.91875,0.804334942,36
LAKE WACCAMAW,North Carolina,Lake,34.2906945,-78.50875,0.012,36.17,1.5,3,3.583333333,0.695,0.0245,23.28333333,1.126068919,31
LAKE ASHTABULA,North Dakota,Reservoir,47.1601112,-98.0196666,0.4279,21.98,3.999999997,3,40.89166667,1.71,0.277314286,16.53285714,0.70485141,23
BRUSH LAKE,North Dakota,Lake,47.54270825,-100.4680555,0.576,0.81,2.500000002,3,29.11428571,1.891111111,0.069444433,15.92235294,1.291774012,24
LAKE DARLING,North Dakota,Reservoir,48.57268533,-101.6279627,0.538,40.06,3.4,3,60.075,1.786086957,0.26073913,15.86619048,0.844551689,23
DEVILS LAKE,North Dakota,Lake,48.0468055,-98.964861,0.434,48,2.6,3,38.50833333,3.113235294,0.665058824,13.5362069,1.286935907,20
JAMESTOWN RESERVOIR,North Dakota,Reservoir,46.98175933,-98.722778,0.46,4.86,7.499999993,3,19.4,1.554642857,0.173678571,15.25380952,1.557869782,38
LAKE LA MOURE,North Dakota,Reservoir,46.297361,-98.279444,0.41,2,4.999999996,3,19.72,2.315714286,0.440142857,18.68615385,1.996443993,20
MATEJCEK LAKE,North Dakota,Reservoir,48.373472,-97.9375,0.411,0.53,4.199999996,3,2.683333333,1.656086957,0.228652174,14.13777778,0.630767928,8
LAKE METIGOSHE,North Dakota,Lake,48.97861133,-100.3537037,0.652,3.74,2.799999998,2,10.36666667,1.393529412,0.053235294,19.215,2.815172297,26
PELICAN LAKE,North Dakota,Lake,48.944722,-100.267778,0.665,0.5,3.100000001,2,10.95,1.371428571,0.031714286,18.94,3.441706883,12
LAKE SAKAKAWEA (GARRISON RES),North Dakota,Reservoir,47.8009445,-102.5052777,0.6436,1490.21,18.89999999,3,6.883333333,0.380625,0.031723214,16.39985294,2.31817797,26
