"pagenum","state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"051","COLORADO","GRAND LAKE","GRAND 99* INCLUDES TRIRS AND LOADS FOR SRADOM MIN LAKE (0813","0807","NATURAL","479.1","2.05","41.3","13.465","92.043","19","19","3.4","0.013","0.003","0.04","0.22","920",NA,"45","9455","10420","3695",NA,"1715","397275",NA,"5980","43",NA,"199480","50",NA
"052","COLORADO","SHADOH MOUNTAIN LAKE","GRAND 0 SEE GRAND LAKE (00071 FOR LOADING VALUES","0013","IMPOUNDMENT","471","5.43","3","13.405","92","27","33","1.8","0.02","0.003","0.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"053","COLORADO","GREEN MOUNTAIN RESERVOIR","SUMMIT","0808","IMPOUNDMENT","1551.4","8.6","22.2","13.46","164","54","107","2.8",NA,"0.01","0.002","0.04","895",NA,NA,"5680","6585","22350",NA,"355","152755","175460","6390","3",NA,"168530","4","20.4"
"054","COLORADO","HOLRROOK RESERVOIR","OTERO","0809","IMPOUNDMENT",NA,NA,NA,NA,NA,"85","1812","0.3","0.329","0.028","0.07","3.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"055","COLORADO","LAKE MEREDITH","CROHLEY","0810","IMPOUNDMENT",NA,"13.03","2.5",NA,NA,"100","7055","0.3","0.397","0.098","0.11","4.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"056","COLORADO","MILTON RESERVOIR","MELD","0811","IMPOUNDMENT",NA,"5.41","7.3",NA,NA,"324","1078","1.8","0.846","0.808","2.28","3.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"057","COLORADO","NAVAJO RESERVOIR","ARCMULETA C0, SAN JUAN RIO ARRIBA NM","0812","IMPOUNDMENT","3443.4","63.25","33.3","49.46","1.4","71","166","0.5","0.036","0.013","0.05","0.365","2510",NA,"10","155570","158090","7205",NA,"360","1769425","1776990","27970","82","2.5","1403140","21","28.1"
"058","IDAHO","AMERICAN FALLS RESERVOIR","BANNOCK BINGHAM PORER","1601","IMPOUNDMENT","35224","277.03","9.2","182.14","109","150","324","0.9","0.105","0.035","0.08","0.575","58095","108130",NA,"443790","610015",NA,"271125","442190","55","7465330","577365","5","2.2","12267495",NA,"29.5"
"059","IDAHO","CASCADE RESERVOIR","VALLEY","1602","IMPOUNDMENT","1621.3","107.24","8.1","27.26","339","18","32","2.2","0.032","0.009","0.06","0.32","1520",NA,NA,"39025","40545","4600",NA,"90",NA,"516985","25985","36","0.38","829205",NA,"4.9"
"060","IDAHO","COEUR DALENE LAKE","SENEMAM KOOTENAI","1603","NATURAL","9945.6","129.5","2.3","179.38","19","23","43","3","0.017","0.005","0.04","0.22","13580",NA,"250","165985","179815","44875",NA,"9325","3342530","3396730","109525","39","1.39",NA,"4354550",NA
