"pagenum","state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"104","ILLINOIS","SLOCUM LAKE","LAKE","1753","NATURAL","22.6","0.37","1.2","0.1","121","214","650","0.3","0.365","0.362","0.2","6.04","5135",NA,"15","4530","9730","17310",NA,"430","9345","27635","3915","60","11.13","13535","33","31.3"
"105","ILLINOIS","LAKE SPRINGFIELD","SANGAHON","1742",NA,"631.2","17.13",NA,"4","4.5","126","364","0.4",NA,"0.103","0.059","3.265","3070",NA,NA,"21030","29150","23190",NA,NA,"1071745","1094935","21720","25","1.7","713340","34","63.9"
"106","ILLINOIS","LAKE STOREY","NNox","1751",NA,"10.2","0.53","4.6","0.1","202","170","410","1","0.072","0.021","2.51","3.01","630",NA,NA,"525","1155",NA,"1885",NA,NA,"21190","355","69","2.18","16620","23","43.5"
"107","ILLINOIS","LAKE VANDALIA","FAYETTE","1764",NA,"62.9","2.67","16.2","0.4","3.4","64","174","0.6","0.116","0.023","0.48","1.505",NA,"90",NA,"5","2475",NA,NA,"265","28960","29495","2260","12","0.96","27555","7","11"
"108","ILLINOIS","LAKE VERHILION","VERMILION","1743",NA,"774.4","2.33","1.4","5.1","9","219","530","0.5","0.109","0.05","4.695","6.12","3305",NA,"195","19330","23330","25510",NA,"7245","1065350","1093105","19430","33","10.2","1020330","7","333"
"109","ILLINOIS","LAKE HEE","FULTON","1761",NA,"49.5",NA,NA,"0.3",NA,NA,NA,"0.9",NA,NA,NA,NA,NA,"135",NA,NA,NA,"410",NA,NA,"50045",NA,NA,"53","0.01","35190","35",NA
"110","ILLINOIS","HONDER LAKE","HCHENRY","1750",NA,"252","2.95",NA,"2.5","1.6","250","560",NA,"0.4","0.426","0.132","0.39","25985",NA,"545","10010","36540","50435",NA,"20490","173750","244675","15930","56","12.39",NA,NA,"82.9"
"111","INDIANA","BASS LAKE","STARNE","1851","NATURAL","13.4","5.69",NA,"0.1",NA,"89","216",NA,"0.7",NA,"0.012","0.25",NA,NA,"115","370","485",NA,NA,"4240","14640","18880",NA,"49","0.09",NA,"43","3.3"
"112","INDIANA","CATARACT LAKE","ouEN PUTNAM","1005",NA,"762","5.66","6.1","7.97","50","139",NA,NA,"0","0.05","0.013","1.66","635",NA,"10","31360","32005","2390",NA,"425","1033255","1036070","10190","43","5.65","766615","26","103.1"
"113","INDIANA","CROOKED LAKE","STEUBEN","1852","NATURAL",NA,"3.25",NA,"6.1","0.29","131",NA,NA,"648",NA,NA,"0.019",NA,NA,"50","720","770",NA,NA,"3575","17525","21100","165","79","0.24","9755","54","6.5"
"114","INDIANA","NAME","LAGRANGE","1845","NATURAL","103.1","1.14","10.8","1","148","197",NA,"2.2","0.029","0.014","0.83","1.685","285",NA,"10","1445","1740","1700",NA,"640","69420","71760","1630","6","1.53",NA,"33","62.9"
"116","INDIANA","HAMILTON LAKE","STEUBEN","1857","NATURAL","42.8","3.25","6.3","0.36","1.8","156","343","2.2","0.033","0.018","0.72","1.28",NA,NA,"55","975","1030",NA,NA,"3955","35105","39060","540",NA,"48","18455",NA,"53"
"117","INDIANA","HOVEY LAKE","POSEY",NA,"NATURAL",NA,"0.93",NA,NA,NA,"77","300",NA,"0.3",NA,NA,"0.024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69969",NA
"118","INDIANA","JAMES LAKE","KOSCIUSKO","1817","NATURAL","144.8","1.14","8.2","1.36","30","200","388","1.7","24","0.003","1.03","1.74",NA,NA,"5","1480","1485",NA,NA,NA,"101135","101385",NA,NA,"1.3","97490","4",NA
"119","INDIANA","JAMES LAKE","STEUBEN J","1053","NATURAL","123","4.1","7.3",NA,"1.13","102","309",NA,"3.7","0.016","0.005","0.19",NA,NA,"5","1335","1420",NA,NA,"6195",NA,"56190","590","50","0.34","30490","46","13.4"
"120","INDIANA","LONG LAKE","STEUBEN","1854","NATURAL","176.1","0.37","5.1","1.7","13","250","613","1.5","0.204","0.15","1.92","3.26","2560",NA,"10","8360","10930","8915",NA,"790","211080","220785","7290","33","29.54","199130","10","596.7"
"121","INDIANA","MARSMTLAKE","STEUBEN","1856","NATURAL",NA,NA,"6.1","0.36","65",NA,"557","1.2","0.093","0.055","0.27","1.19","1120",NA,NA,"280","1400","4330",NA,NA,"14870",NA,"1310","6","6.09","19705",NA,"3.7"
