pagenum,state,name,county,storet_code,lake_type,drainage_area,surface_area,mean_depth,total_inflow,retention_time,alkalinity,conductivity,sechhi,tp,po4,tin,tn,p_pnt_source_muni,p_pnt_source_industrial,p_pnt_source_septic,p_nonpnt_source,p_total,n_pnt_source_muni,n_pnt_source_industrial,n_pnt_source_septic,n_nonpnt_source,n_total,p_total_out,p_percent_retention,p_surface_area_loading,n_total_out,n_percent_retention,n_surface_area_loading
242,TENNESSEE,J PERCY PRIEST HES,DAVIDSON RUTHERFORD,4723,IMPOUNDMENT,2310.3,57.47,8.5,40.58,139,128,255,1.8,0.056,0.021,0.155,0.565,72720,825,30,199240,272815,121335,1920,1170,1443160,1567585,244995,10,4.75,1485790,5,27.3
243,TENNESSEE,CHEROKEE LAKE,JEFFERSON HAMBLEN GRAINGER HARKINS,4707,IMPOUNDMENT,8878.5,122.62,14.9,120.6,190,90,265,1.3,0.051,0.022,0.78,1.27,34705,NA,30,435065,469800,87185,NA,1205,6738050,6826440,174735,63,3.83,6402390,6,55.7
244,TENNESSEE,CHICKAMAUGA RESERVOIR,HAMILTON RHEA MEIGS MCMINN,4708,IMPOUNDMENT,53846.1,143.25,5.4,924.8,11,59,160,0.9,0.031,0.012,0.44,0.6,60155,NA,45,1246155,1306355,176255,NA,1790,46174325,46352370,1101375,16,9.12,26652990,42,323.6
246,TENNESSEE,FT LOUDON RESERVOIR,LOUDON KNOX BLOUNT,4712,IMPOUNDMENT,24734.5,59.09,7.6,362.3,15,68,210,0.9,0.054,0.025,0.55,0.96,402170,NA,170,599285,1001625,1027700,NA,6335,12924345,13958380,748450,25,16.95,17124690,NA,236.2
248,TENNESSEE,NICKAJACK RESERVOIR,MARION HAMILTON,4717,IMPOUNDMENT,56643.3,41.97,7.1,957.05,4,57,162,1,0.051,0.025,0.495,0.725,378470,NA,60,1357255,1735785,1078890,NA,2335,22496415,23577640,1554460,10,41.36,23668705,NA,561.8
250,TENNESSEE,WATTS BAR RESERVOIR,CUMBERLAND LOUDON MEIGS RHEA ROANE,4722,IMPOUNDMENT,44832.9,157.82,7.9,741.05,23,66,169,1,0.032,0.012,0.51,0.74,74930,NA,75,1235225,1310230,255640,NA,3370,21184645,21443655,1018950,22,8.3,20612910,4,135.9
252,TENNESSEE,DOUGLAS LAKE,SEVIER JEFFERSON COCKE,4711,IMPOUNDMENT,11766.4,123.03,14.1,191.7,116,46,168,1.5,0.026,0.014,0.44,0.7,12870,NA,75,669425,682370,33890,NA,2825,9089940,9126655,286690,58,5.55,7702060,16,74.2
253,TENNESSEE,GREAT FALLS LAKE,WHITE VAN BUREN,4713,IMPOUNDMENT,4346,12.38,5,84.45,9,73,165,1.4,0.02,0.007,0.405,0.72,20310,NA,20,120255,140585,60910,NA,780,2412680,2474370,72460,48,11.36,1862355,25,199.9
254,TENNESSEE,REELFOOT LAKE,OBION,4727,NATURAL,567.8,36.42,1.4,6.4,NA,91,200,0.6,0.233,0.059,0.17,2.17,NA,61600,75,55610,117285,NA,201215,2845,272380,476440,NA,NA,3.22,NA,NA,13.1
255,TENNESSEE,TIMS FORD RESERVOIR,FRANKLIN MOORE,4724,IMPOUNDMENT,1370.1,42.9,15.2,24.2,379,61,135,2.6,0.021,0.009,0.445,0.695,29730,NA,20,24900,54650,101150,NA,815,835210,937175,33785,38,1.27,617800,34,21.8
