"pagenum","state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"011","CONNECTICUT",NA,NA,NA,"IMPOUNDMENT","1851.85","1035","2.7","3505","1.2","20","115","0.8","0.092","0.053","0.59",NA,"28259",NA,"140","1068160",NA,"80236",NA,"535","16794670","1760237","125927","7","100024","16103940","9","1306.2"
"012","CONNECTICUT",NA,"LITCHFIELD",NA,"NATURAL","85.99","3.71","4.4","1.7","112",NA,"33","110","1.7","0.044","0.014","0.135",NA,NA,NA,"2132","2322","535",NA,NA,"44562","45098","2431",NA,"0.63","47927",NA,"12.2"
"013","CONNECTICUT","COMMUNITY LAKE","NEW HAVEN","903","IMPOUNDMENT","282.31","0.36",NA,"5.5",NA,"66","280",NA,"0.9","0.488","0.36","2.15","38236",NA,NA,"57007","95243","179537",NA,NA,"397179","576716","91810","4","261.49","553528","4","1583.4"
"014","CONNECTICUT",NA,"TOLLAND","904","IMPOUNDMENT","287.49","0.32","0.9","5.3","0.6","10",NA,"1.6","0.094","0.04","0.5",NA,"11374",NA,"14","6127","17515","69728",NA,"535","180689","250952","13819","21","54.1","257710",NA,"775.1"
"015","CONNECTICUT","HANOVER POND","NEH HAVEN","905","IMPOUNDMENT","246.31","0.26","1.4","4.8","0.8","59","265","1","0.298","0.189","1.575",NA,"29673",NA,NA,"26875","56549","105900",NA,NA,NA,NA,"56440","0","218.33","380676",NA,"1363.1"
"016","CONNECTICUT","LAKE ZOAR","LITCHFIELD NEH HAVEN","910","IMPOUNDMENT",NA,"3.95","7.5","70.2","5","72","220","1.9","0.043","0.029","0.56",NA,"10154",NA,NA,"144617","154771","14231",NA,NA,"2747388","2761619","116562","25","39.22","2556381","7","699.9"
"017","CONNECTICUT","LAKE LILLINONAH","FAIRFIELD","911","IMPOUNDMENT","3605.28","7.69","11.9","62.7","17","80","240","3.7","0.054","0.048","0.66",NA,"29669",NA,NA,"193900","223559","214957",NA,NA,"2786162","3001118","133406","40","29.08","2512589","16","390.3"
"018","CONNECTICUT","LAKE MOUSATONIC","NEMHAVEN FAIR FIELD","912","IMPOUNDMENT","4076.66","1.33","2.9","71.8","0.6","84","240","1.9","0.039","0.029","0.57",NA,NA,NA,NA,"118236","118236",NA,NA,NA,"2607147","2607147",NA,"16","89.07","2459537","6","1964.1"
"019","MAINE","ESTES LAKE","YORK","2304","IMPOUNDMENT","271.95","1.57","3","5","11","13","75","1","0.094","0.057","0.23",NA,"11234","9333033333","14","3364",NA,"45193",NA,"431","127129","172303","14254","6","9.65","193333",NA,"110.3"
"020","MAINE","LONG LAKE","CUMBERLAND","2306","NATURAL","295.26","19.7","10.4","5.5","1.2","10","50","3.4","0.008","0.006","0.08",NA,NA,NA,"299","2058","2757",NA,NA,"11256","83578","90834","1388","50",NA,"78757","17","4.8"
