"x"
"TWENTY HILE BROOK 0.2 8.8 0.018 0.504 11. 308."
"NINETEEN MILE BROOK 0.3 16.6 0.017 0.517 10. 313."
"MIRROR-WINTER CONNEC 0.2 8.5 0.014 0.654 8. 401."
"RUST-HINNIPESAUKEE CONN 0.1 6.2 0.013 0.343 8. 213."
"NO NAME (51) 0.059 3.1 0.019 0.421 12. 250."
"KNIGHTS-WINNIPESAUKEE 0.042 2.1 0.022 0.544 13. 352."
"BEAVER BROOK 0.4 20.7 0.017 0.544 10. 329."
"HURD BROOK 0.2 9.1 0.020 0.855 12. 309."
"MERRY MEETING RIVER 1.4 74.6 0.015 0.493 9. 300."
"WATSON BROOK 0.2 . 8.0 0.017 0.343 11. 210."
"ALTON BROOK 0.2 9.8 0.020 0.304 12. 179."
"POORFARM BROOK 0.3 16.8 0.024 0.477 15. 286."
"GUNSTOCK RIVER 0.5 24.1 0.024 0.626 15. 418."
"MEADON BROOK 0.071 3.6 0.033 0.970 20. 590."
"a ."
"(A,"
""
