pdf,pagenum,retention_time_units
476,162,years
476,163,years
476,164,days
476,165,NA
476,166,years
476,167,years
476,168,years
476,169,days
476,16,days
476,170,days
476,171,days
476,172,years
476,173,days
476,174,years
476,175,days
476,176,days
476,177,NA
476,178,years
476,179,years
476,17,days
476,180,NA
476,181,days
476,182,years
476,183,years
476,184,years
476,185,years
476,186,years
476,187,years
476,188,NA
476,189,years
476,18,days
476,190,years
476,191,years
476,192,years
476,193,years
476,194,days
476,195,years
476,196,years
476,197,years
476,198,years
476,199,years
476,19,days
476,200,days
476,201,NA
476,20,NA
476,21,years
476,22,NA
476,23,days
476,24,days
476,25,days
476,26,days
476,27,years
476,28,days
476,29,NA
476,30,days
476,31,days
476,32,NA
476,33,days
476,34,days
476,35,days
476,36,years
476,37,years
476,38,years
476,39,years
476,40,years
476,41,days
476,42,days
476,43,years
476,44,years
476,45,years
476,46,years
476,47,years
476,48,days
476,49,days
476,50,days
476,51,days
476,52,days
476,53,years
476,54,years
476,55,days
476,56,years
476,57,days
476,58,days
476,59,days
476,60,days
476,61,NA
476,62,years
476,63,days
476,64,days
476,65,days
476,66,years
476,67,years
476,68,days
476,69,years
476,70,days
476,71,years
476,72,days
476,73,days
476,74,days
476,75,years
476,76,days
476,77,years
476,78,days
476,79,years
476,80,days
476,81,days
476,82,days
476,83,years
476,84,years
476,85,days
476,86,years
476,87,years
476,88,days
476,89,years
476,90,days
476,91,years
476,92,years
476,93,years
476,94,years
476,95,days
476,96,years
476,97,years
476,98,years
476,99,years
477,100,years
477,101,years
477,102,years
477,103,years
477,104,days
477,105,days
477,106,years
477,107,days
477,108,NA
477,109,years
477,110,days
477,111,days
477,112,years
477,113,days
477,114,days
477,115,years
477,116,years
477,117,days
477,118,days
477,119,years
477,11,years
477,120,years
477,121,days
477,122,years
477,123,years
477,124,days
477,125,days
477,126,years
477,127,years
477,128,years
477,129,years
477,12,years
477,130,years
477,131,days
477,132,days
477,133,years
477,134,years
477,135,years
477,136,years
477,137,years
477,138,days
477,139,years
477,13,days
477,140,NA
477,141,years
477,142,years
477,143,days
477,144,years
477,145,years
477,146,years
477,147,days
477,148,days
477,149,years
477,14,days
477,150,days
477,151,years
477,152,years
477,153,days
477,154,years
477,155,days
477,156,days
477,157,days
477,158,NA
477,159,years
477,15,years
477,160,years
477,161,NA
477,162,years
477,163,days
477,164,years
477,165,years
477,166,days
477,167,years
477,168,days
477,169,days
477,16,days
477,170,days
477,17,years
477,18,years
477,19,days
477,20,years
477,21,years
477,22,days
477,23,days
477,24,days
477,25,years
477,26,years
477,27,years
477,28,years
477,29,days
477,30,years
477,31,years
477,32,days
477,33,years
477,34,years
477,35,days
477,36,days
477,37,years
477,38,days
477,39,years
477,40,days
477,41,days
477,42,years
477,43,days
477,44,days
477,45,days
477,46,days
477,47,years
477,48,days
477,49,years
477,50,years
477,51,days
477,52,days
477,53,days
477,54,years
477,55,years
477,56,years
477,57,years
477,58,days
477,59,days
477,60,years
477,61,NA
477,62,days
477,63,years
477,64,years
477,65,days
477,66,days
477,67,days
477,68,days
477,69,days
477,70,years
477,71,years
477,72,days
477,73,years
477,74,days
477,75,days
477,76,days
477,77,days
477,78,NA
477,79,years
477,80,years
477,81,years
477,82,days
477,83,days
477,84,years
477,85,days
477,86,days
477,87,years
477,88,days
477,89,years
477,90,years
477,91,years
477,92,NA
477,93,days
477,94,days
477,95,years
477,96,years
477,97,years
477,98,years
477,99,years
